                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.2967,                 1.2451,                  1.392,                0.71118,                 0.6162,                0.69723,                0.37425,                 1.5603,                 1.3297,                 1.5723,              0.0003466,              0.0003466,              0.0003466
                     68,                 1.2967,                 1.2451,                  1.392,                0.71118,                 0.6162,                0.69723,                0.37425,                 1.5603,                 1.3297,                 1.5723,              0.0003466,              0.0003466,              0.0003466
                     69,                 1.2862,                  1.195,                 1.3927,                0.63767,                0.69153,                0.70703,                0.37525,                 1.5705,                 1.2755,                 1.5749,              0.0003367,              0.0003367,              0.0003367
                     69,                 1.2862,                  1.195,                 1.3927,                0.63767,                0.69153,                0.70703,                0.37525,                 1.5705,                 1.2755,                 1.5749,              0.0003367,              0.0003367,              0.0003367
                     70,                   1.29,                 1.2118,                 1.3967,                0.72049,                0.64865,                0.72233,                0.38424,                 1.5514,                  1.255,                 1.5748,              0.0003268,              0.0003268,              0.0003268
                     70,                   1.29,                 1.2118,                 1.3967,                0.72049,                0.64865,                0.72233,                0.38424,                 1.5514,                  1.255,                 1.5748,              0.0003268,              0.0003268,              0.0003268
                     71,                 1.2829,                 1.1881,                 1.3903,                0.62878,                0.67097,                0.71265,                0.38344,                 1.5452,                 1.2718,                 1.5552,              0.0003169,              0.0003169,              0.0003169
                     71,                 1.2829,                 1.1881,                 1.3903,                0.62878,                0.67097,                0.71265,                0.38344,                 1.5452,                 1.2718,                 1.5552,              0.0003169,              0.0003169,              0.0003169
                     72,                 1.2907,                   1.18,                 1.3828,                0.69499,                 0.6409,                0.71364,                0.37825,                 1.5545,                 1.2757,                 1.5685,               0.000307,               0.000307,               0.000307
                     72,                 1.2907,                   1.18,                 1.3828,                0.69499,                 0.6409,                0.71364,                0.37825,                 1.5545,                 1.2757,                 1.5685,               0.000307,               0.000307,               0.000307
                     73,                 1.2664,                 1.1602,                  1.378,                0.65662,                0.68287,                0.71468,                0.38916,                 1.5325,                 1.2546,                  1.565,              0.0002971,              0.0002971,              0.0002971
                     73,                 1.2664,                 1.1602,                  1.378,                0.65662,                0.68287,                0.71468,                0.38916,                 1.5325,                 1.2546,                  1.565,              0.0002971,              0.0002971,              0.0002971
                     74,                 1.2775,                 1.1767,                 1.3709,                0.63182,                0.69969,                0.71686,                0.39032,                 1.5546,                 1.2329,                  1.569,              0.0002872,              0.0002872,              0.0002872
                     74,                 1.2775,                 1.1767,                 1.3709,                0.63182,                0.69969,                0.71686,                0.39032,                 1.5546,                 1.2329,                  1.569,              0.0002872,              0.0002872,              0.0002872
                     75,                 1.2905,                 1.1608,                 1.3774,                0.66321,                0.65918,                0.72365,                0.39249,                  1.535,                 1.2608,                 1.5725,              0.0002773,              0.0002773,              0.0002773
                     75,                 1.2905,                 1.1608,                 1.3774,                0.66321,                0.65918,                0.72365,                0.39249,                  1.535,                 1.2608,                 1.5725,              0.0002773,              0.0002773,              0.0002773
                     76,                  1.271,                 1.1468,                 1.3704,                0.65693,                0.68207,                0.72685,                0.39828,                 1.5309,                 1.2405,                 1.5542,              0.0002674,              0.0002674,              0.0002674
                     76,                  1.271,                 1.1468,                 1.3704,                0.65693,                0.68207,                0.72685,                0.39828,                 1.5309,                 1.2405,                 1.5542,              0.0002674,              0.0002674,              0.0002674
                     77,                 1.2894,                 1.1813,                 1.3832,                0.67293,                 0.6682,                0.72023,                0.38962,                 1.5351,                 1.2636,                 1.5728,              0.0002575,              0.0002575,              0.0002575
                     77,                 1.2894,                 1.1813,                 1.3832,                0.67293,                 0.6682,                0.72023,                0.38962,                 1.5351,                 1.2636,                 1.5728,              0.0002575,              0.0002575,              0.0002575
                     78,                 1.2807,                 1.1845,                 1.3867,                0.65905,                0.68281,                0.71805,                0.39477,                 1.5424,                 1.2429,                 1.5701,              0.0002476,              0.0002476,              0.0002476
                     78,                 1.2807,                 1.1845,                 1.3867,                0.65905,                0.68281,                0.71805,                0.39477,                 1.5424,                 1.2429,                 1.5701,              0.0002476,              0.0002476,              0.0002476
